tipo_entidad,institucion,pais,sector,lat,lon
Universidad,Universite D'auvergne Clermont Ferrand,France,Otros,46.227638,2.213749
Universidad,Université de Lille,France,Otros,46.227638,2.213749
Universidad,Université Joseph Fourier Grenoble,France,Otros,46.227638,2.213749
Universidad,Universite Paris Diderot,France,Otros,46.227638,2.213749
Universidad,Universite Rene Descartes,France,Otros,46.227638,2.213749
Universidad,Universite Rene Descartes,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Universidad,Universite Victor Segalen Bordeaux ,France,Otros,46.227638,2.213749
Universidad,University of Angers,France,Otros,46.227638,2.213749
Universidad,University of Montpellier,France,TIC,46.227638,2.213749
Universidad,University of Montpellier,France,Otros,46.227638,2.213749
Universidad,UPMC Université Paris VI,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Centro Tecnológico,Association CARDIO-MONDE ,France,Nanotech,46.227638,2.213749
Centro Tecnológico,CEA-Grenoble,France,Nanotech,46.227638,2.213749
Centro Tecnológico,Commisariat a l'Energie Atomique,France,E-health,46.227638,2.213749
Centro Tecnológico,"INRIA, Institut National de Recherche en informatique et en automatique",France,TIC,46.227638,2.213749
Centro Tecnológico,"INRIA, Institut National de Recherche en informatique et en automatique",France,TIC,46.227638,2.213749
Centro Tecnológico,Interdisciplinary Institute for Neuroscience,France,Biotech (Diagnóstico y equipos médicos),46.227638,2.213749
Empresa,ASD Advanced simulation & Design gmbH,Germany,TIC,51.165691,10.451526
Empresa,Biobase,Germany,Otros,51.165691,10.451526
Empresa,Biolution GmbH,Germany,Otros,51.165691,10.451526
Empresa,Biomax informatics AG,Germany,TIC,51.165691,10.451526
Empresa,Blasticon Biotechnologische Forschung GmbH,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Blasticon Biotechnologische Forschung GmbH,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Boehringer Ingelheim Pharmaceuticals,Germany,Farma,51.165691,10.451526
Empresa,Cellgenix Gmbh,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Cellzome AG,Germany,Farma,51.165691,10.451526
Empresa,Epigenomics AG,Germany,Nanotech,51.165691,10.451526
Empresa,EURICE: European Research an Project Office GmbH,Germany,Otros,51.165691,10.451526
Empresa,European Research and Project Office GmbH,Germany,Otros,51.165691,10.451526
Empresa,Genexplain Gmbh,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Genomatix Software GmbH,Germany,TIC,51.165691,10.451526
Empresa,Genomatix Software GmbH,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Helmholtz-Zentrum Fuer Infektionsforshung Gmbh,Germany,Otros,51.165691,10.451526
Empresa,Investitions und Forderbank Niedersachsen NBANK Germany,Germany,Industrial,51.165691,10.451526
Empresa,Lohmann & Birkner Health Care Consulting GmbH,Germany,Otros,51.165691,10.451526
Empresa,Lundbeck,Germany,Farma,51.165691,10.451526
Empresa,Medicyte GMBH,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Medpace ,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Memorec Biotec GmbH,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Memorec Biotec Gmbh,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Miltenyi Biotechnologische Forschung Gmbh,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Mosaiques Diagnostics Gmbh,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Motama GmbH,Germany,TIC,51.165691,10.451526
Empresa,Mtm Laboratories Ag,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Pamgene International Bv,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Empresa,Pharmaceutical Research Associates Gmbh,Germany,Otros,51.165691,10.451526
Empresa,Proscience Communications - Die Agentur Für Wissenschaftskommunikation Gmbh,Germany,Otros,51.165691,10.451526
Empresa,Raytest,Germany,Industrial,51.165691,10.451526
